Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C11, C12, C13, C17, C18, C22, C4, C5, C7, C8, C9",0603,12,100nF,C14663
"C14, C15",0603,2,47pF,C5137501
C16,1206,1,22uF/25V,C12891
"C19, C20",1206,2,220u/6.3V,C15008
C2,0805,1,100nF/50V,C49678
C3,0805,1,10uF/25V,C5137488
C6,0603,1,4.7uF,C19666
D1,D_SOD-123F,1,"BAS16H,115",C130413
"D11, D12",0603,2,LED(grn),
"D14, D32, D33, D34, D35, D36, D37, D38",0603,8,LED(wht),C2290
D17,0603,1,RTS(red),
D18,0603,1,CTS(red),
D2,0603,1,Locate(blue),C434421
D3,0603,1,Reset(red),C2986060
D4,0603,1,Hbt(grn),C84264
D5,0603,1,PWR(grn),C84264
D6,0603,1,Alarm(pink),
D8,0603,1,PWR(grn),
"H1, H2",MountingHole_3.2mm_M3_ISO7380_Pad,2,MountingHole,
IC1,SON65P200X200X80-7N,1,TPS2553DRVT,C2871420
IC3,74HC595BQ115,1,"74HC595BQ,115",C547123
J1,USB_Micro-B_Reichelt_BWM_SMD,1,USB_B_Mini,
J2,PinHeader_1x16_P2.54mm_Vertical,1,Conn_01x16_Male,
J3,PinHeader_1x06_P2.54mm_Vertical,1,Debug IF,
J4,PinHeader_2x03_P1.27mm_Vertical,1,UPDI,
J5,PinHeader_1x08_P2.54mm_Vertical,1,Conn_01x08_Male,
JP1,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,SolderJumper_2_Open,
JP2,PinHeader_1x02_P2.54mm_Vertical,1,Jumper_2_Open,
JP3,PinHeader_1x02_P2.54mm_Vertical,1,USB power,
"L1, L2",0805,2,Ferrite_Bead,C845118
"R1, R12, R6, R7, R8",0603,5,1k,C21190
R10,0603,1,18k,C25810
"R11, R2, R28, R4, R5",0603,5,3.3k,C22978
"R15, R22, R23, R29, R30",0603,5,3.3k,0603WAF3301T5E
"R16, R20",0603,2,27,C23345
R3,0603,1,100,C22775
R9,0603,1,100k,C25803
"RN3, RN4",R_Array_Convex_4x0603,2,4.7k,C1980
TP1,TestPoint_Pad_D2.0mm,1,TestPoint,
U2,UQFN-48-1EP_6x6mm_P0.4mm_EP4.45x4.45mm_ThermalVias,1,AVR64DA48,C3227372
U5,SOT-23-5,1,MIC5205-3.3YM5,C37970
U6,QFN-16-1EP_4x4mm_P0.65mm_EP2.7x2.7mm,1,FT230XQ,C128629
U7,SSOP-16_3.9x4.9mm_P0.635mm,1,ISO7742,C5216468
X1,Oscillator_SMD_Abracon_ASE-4Pin_3.2x2.5mm,1,ASE-24MHz,C1987527
