Designator,Package,Mid X,Mid Y,Rotation,Side
C2,C_0805_2012Metric,126.725,-36.3,270,bottom
C3,C_0805_2012Metric,121.1,-36.3,90,bottom
C4,C_0603_1608Metric,112.88,-47.32044,0,bottom
C5,C_0603_1608Metric,146.08,-45.42044,180,bottom
C6,R_0603_1608Metric,140.72,-45.13044,180,bottom
C7,C_0603_1608Metric,146.08576,-43.94116,180,bottom
C8,C_0603_1608Metric,94.79,-38.42044,180,bottom
C9,C_0603_1608Metric,135.37,-36.66044,0,bottom
C10,C_0603_1608Metric,131.41,-36.67044,180,bottom
C11,C_0603_1608Metric,83.025,-44.75,180,bottom
C12,C_0603_1608Metric,89.3,-44.55,270,bottom
C13,C_0603_1608Metric,141.7,-36.87044,180,bottom
C14,C_0603_1608Metric,146.08068,-42.47304,0,bottom
C15,C_0603_1608Metric,146.08576,-38.08044,0,bottom
C16,C_1206_3216Metric,124.375,-39.15,0,bottom
C17,C_0603_1608Metric,144.0942,-31.8262,90,bottom
C18,C_0603_1608Metric,87.02,-35.09044,180,bottom
C19,C_1206_3216Metric,136.2837,-31.7754,180,bottom
C20,C_1206_3216Metric,131.6228,-31.7754,0,bottom
C22,C_0603_1608Metric,140.72,-43.67044,0,bottom
D1,D_SOD-123F,118.9,-35.8,90,bottom
IC1,SON65P200X200X80-7N,141.6812,-31.8516,180,bottom
IC3,74HC595BQ115,75.4027,-41.23374,90,bottom
L1,L_0805_2012Metric,143.1,-44.7,90,bottom
L2,L_0805_2012Metric,148.0566,-32.4358,180,bottom
R1,R_0603_1608Metric,154.9654,-31.5214,90,bottom
R2,R_0603_1608Metric,68.3,-48.88044,0,bottom
R3,R_0603_1608Metric,76.22794,-31.5087,90,bottom
R4,R_0603_1608Metric,112.88,-45.86044,180,bottom
R5,R_0603_1608Metric,94.79,-40.16044,0,bottom
R6,R_0603_1608Metric,78.22184,-31.50108,90,bottom
R7,R_0603_1608Metric,80.28178,-31.50108,90,bottom
R8,R_0603_1608Metric,82.54746,-31.48838,90,bottom
R9,R_0603_1608Metric,145.5674,-31.8262,270,bottom
R10,R_0603_1608Metric,139.319,-31.496,270,bottom
R11,R_0603_1608Metric,68.29,-50.37044,180,bottom
R12,R_0603_1608Metric,151.8666,-32.512,180,bottom
R15,R_0603_1608Metric,136.21,-47.97044,90,bottom
R16,R_0603_1608Metric,146.08,-41.01044,0,bottom
R20,R_0603_1608Metric,146.08,-39.54044,0,bottom
R22,R_0603_1608Metric,142.09,-47.98044,90,bottom
R23,R_0603_1608Metric,140.62,-47.97044,90,bottom
R27,R_0603_1608Metric,146.09,-36.62044,180,bottom
R28,R_0603_1608Metric,68.29,-51.83044,180,bottom
R29,R_0603_1608Metric,137.69,-47.97044,90,bottom
R30,R_0603_1608Metric,139.16,-47.97044,90,bottom
RN3,R_Array_Convex_4x0603,71.38188,-43.90328,90,bottom
RN4,R_Array_Convex_4x0603,71.36664,-37.98,90,bottom
U2,UQFN-48-1EP_6x6mm_P0.4mm_EP4.45x4.45mm_ThermalVias,89.67,-39.43044,0,bottom
U5,SOT-23-5,123.92072,-36.08848,270,bottom
U6,QFN-16-1EP_4x4mm_Pitch0.65mm,141.8846,-40.27344,180,bottom
U7,SSOP-16_3.9x4.9mm_Pitch0.635mm,133.3938,-40.25584,180,bottom
X1,Oscillator_SMD_Abracon_ASE-4Pin_3.2x2.5mm,86.51,-45.69044,180,bottom
